Label,No,B2,B1,F1,F2,POSB2,POSB1,POSF1,POSF2
1,0,/s,/s,太,阳,NAN,NAN,d,nr
0,1,/s,太,阳,像,NAN,d,nr,v
1,2,太,阳,像,一,d,nr,v,m
1,3,阳,像,一,个,nr,v,m,q
0,4,像,一,个,巨,v,m,q,nr
1,5,一,个,巨,大,m,q,nr,a
0,6,个,巨,大,的,q,nr,a,uj
0,7,巨,大,的,火,nr,a,uj,n
1,8,大,的,火,球,a,uj,n,n
0,9,的,火,球,，,uj,n,n,x
1,10,火,球,，,逼,n,n,x,v
1,11,球,，,逼,射,n,x,v,v
0,12,，,逼,射,着,x,v,v,uz
1,13,逼,射,着,大,v,v,uz,a
1,14,射,着,大,地,v,uz,a,uv
0,15,着,大,地,，,uz,a,uv,x
1,16,大,地,，,台,a,uv,x,q
1,17,地,，,台,湾,uv,x,q,zg
0,18,，,台,湾,的,x,q,zg,uj
0,19,台,湾,的,仲,q,zg,uj,zg
1,20,湾,的,仲,夏,zg,uj,zg,nr
0,21,的,仲,夏,，,uj,zg,nr,x
1,22,仲,夏,，,酷,zg,nr,x,n
1,23,夏,，,酷,热,nr,x,n,n
0,24,，,酷,热,得,x,n,n,ud
0,25,酷,热,得,让,n,n,ud,v
1,26,热,得,让,人,n,ud,v,n
1,27,得,让,人,晕,ud,v,n,v
1,28,让,人,晕,眩,v,n,v,v
0,29,人,晕,眩,。,n,v,v,x
1,30,晕,眩,。,/s,v,v,x,NAN
1,0,/s,/s,柏,霈,NAN,NAN,nr,g
0,1,/s,柏,霈,文,NAN,nr,g,n
1,2,柏,霈,文,把,nr,g,n,p
1,3,霈,文,把,车,g,n,p,zg
1,4,文,把,车,子,n,p,zg,ng
0,5,把,车,子,停,p,zg,ng,v
1,6,车,子,停,在,zg,ng,v,p
1,7,子,停,在,工,ng,v,p,n
1,8,停,在,工,厂,v,p,n,zg
0,9,在,工,厂,门,p,n,zg,n
1,10,工,厂,门,口,n,zg,n,q
0,11,厂,门,口,，,zg,n,q,x
1,12,门,口,，,钻,n,q,x,v
1,13,口,，,钻,出,q,x,v,v
1,14,，,钻,出,车,x,v,v,zg
1,15,钻,出,车,子,v,v,zg,ng
0,16,出,车,子,，,v,zg,ng,x
1,17,车,子,，,一,zg,ng,x,m
1,18,子,，,一,股,ng,x,m,q
0,19,，,一,股,热,x,m,q,n
1,20,一,股,热,浪,m,q,n,n
0,21,股,热,浪,扑,q,n,n,v
1,22,热,浪,扑,面,n,n,v,n
0,23,浪,扑,面,而,n,v,n,c
0,24,扑,面,而,来,v,n,c,v
0,25,面,而,来,，,n,c,v,x
1,26,而,来,，,烈,c,v,x,a
1,27,来,，,烈,日,v,x,a,m
0,28,，,烈,日,闪,x,a,m,v
1,29,烈,日,闪,烁,a,m,v,zg
0,30,日,闪,烁,得,m,v,zg,ud
0,31,闪,烁,得,他,v,zg,ud,r
1,32,烁,得,他,睁,zg,ud,r,v
1,33,得,他,睁,不,ud,r,v,d
0,34,他,睁,不,开,r,v,d,v
1,35,睁,不,开,眼,v,d,v,n
1,36,不,开,眼,睛,d,v,n,zg
0,37,开,眼,睛,。,v,n,zg,x
1,38,眼,睛,。,/s,n,zg,x,NAN
1,0,/s,/s,走,进,NAN,NAN,v,v
0,1,/s,走,进,工,NAN,v,v,n
1,2,走,进,工,厂,v,v,n,zg
0,3,进,工,厂,，,v,n,zg,x
1,4,工,厂,，,茶,n,zg,x,n
1,5,厂,，,茶,叶,zg,x,n,nr
0,6,，,茶,叶,的,x,n,nr,uj
0,7,茶,叶,的,清,n,nr,uj,t
1,8,叶,的,清,香,nr,uj,t,ns
0,9,的,清,香,就,uj,t,ns,d
1,10,清,香,就,弥,t,ns,d,v
1,11,香,就,弥,漫,ns,d,v,a
0,12,就,弥,漫,在,d,v,a,p
1,13,弥,漫,在,空,v,a,p,n
1,14,漫,在,空,气,a,p,n,n
0,15,在,空,气,中,p,n,n,f
1,16,空,气,中,，,n,n,f,x
1,17,气,中,，,再,n,f,x,d
1,18,中,，,再,夹,f,x,d,n
1,19,，,再,夹,杂,x,d,n,v
0,20,再,夹,杂,着,d,n,v,uz
0,21,夹,杂,着,茉,n,v,uz,n
1,22,杂,着,茉,莉,v,uz,n,nrt
0,23,着,茉,莉,花,uz,n,nrt,v
0,24,茉,莉,花,的,n,nrt,v,uj
0,25,莉,花,的,香,nrt,v,uj,ns
1,26,花,的,香,味,v,uj,ns,n
0,27,的,香,味,，,uj,ns,n,x
1,28,香,味,，,又,ns,n,x,d
1,29,味,，,又,甜,n,x,d,a
1,30,，,又,甜,净,x,d,a,a
0,31,又,甜,净,，,d,a,a,x
1,32,甜,净,，,又,a,a,x,d
