Label,No,B3,B2,B1,F1,F2,F3,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3
1,0,/s,/s,/s,太,阳,像,NAN,NAN,NAN,d,nr,v
0,1,/s,/s,太,阳,像,一,NAN,NAN,d,nr,v,m
1,2,/s,太,阳,像,一,个,NAN,d,nr,v,m,q
1,3,太,阳,像,一,个,巨,d,nr,v,m,q,nr
0,4,阳,像,一,个,巨,大,nr,v,m,q,nr,a
1,5,像,一,个,巨,大,的,v,m,q,nr,a,uj
0,6,一,个,巨,大,的,火,m,q,nr,a,uj,n
0,7,个,巨,大,的,火,球,q,nr,a,uj,n,n
1,8,巨,大,的,火,球,，,nr,a,uj,n,n,x
0,9,大,的,火,球,，,逼,a,uj,n,n,x,v
1,10,的,火,球,，,逼,射,uj,n,n,x,v,v
1,11,火,球,，,逼,射,着,n,n,x,v,v,uz
0,12,球,，,逼,射,着,大,n,x,v,v,uz,a
1,13,，,逼,射,着,大,地,x,v,v,uz,a,uv
1,14,逼,射,着,大,地,，,v,v,uz,a,uv,x
0,15,射,着,大,地,，,台,v,uz,a,uv,x,q
1,16,着,大,地,，,台,湾,uz,a,uv,x,q,zg
1,17,大,地,，,台,湾,的,a,uv,x,q,zg,uj
0,18,地,，,台,湾,的,仲,uv,x,q,zg,uj,zg
0,19,，,台,湾,的,仲,夏,x,q,zg,uj,zg,nr
1,20,台,湾,的,仲,夏,，,q,zg,uj,zg,nr,x
0,21,湾,的,仲,夏,，,酷,zg,uj,zg,nr,x,n
1,22,的,仲,夏,，,酷,热,uj,zg,nr,x,n,n
1,23,仲,夏,，,酷,热,得,zg,nr,x,n,n,ud
0,24,夏,，,酷,热,得,让,nr,x,n,n,ud,v
0,25,，,酷,热,得,让,人,x,n,n,ud,v,n
1,26,酷,热,得,让,人,晕,n,n,ud,v,n,v
1,27,热,得,让,人,晕,眩,n,ud,v,n,v,v
1,28,得,让,人,晕,眩,。,ud,v,n,v,v,x
0,29,让,人,晕,眩,。,/s,v,n,v,v,x,NAN
1,30,人,晕,眩,。,/s,/s,n,v,v,x,NAN,NAN
1,0,/s,/s,/s,柏,霈,文,NAN,NAN,NAN,nr,g,n
0,1,/s,/s,柏,霈,文,把,NAN,NAN,nr,g,n,p
1,2,/s,柏,霈,文,把,车,NAN,nr,g,n,p,zg
1,3,柏,霈,文,把,车,子,nr,g,n,p,zg,ng
1,4,霈,文,把,车,子,停,g,n,p,zg,ng,v
0,5,文,把,车,子,停,在,n,p,zg,ng,v,p
1,6,把,车,子,停,在,工,p,zg,ng,v,p,n
1,7,车,子,停,在,工,厂,zg,ng,v,p,n,zg
1,8,子,停,在,工,厂,门,ng,v,p,n,zg,n
0,9,停,在,工,厂,门,口,v,p,n,zg,n,q
1,10,在,工,厂,门,口,，,p,n,zg,n,q,x
0,11,工,厂,门,口,，,钻,n,zg,n,q,x,v
1,12,厂,门,口,，,钻,出,zg,n,q,x,v,v
1,13,门,口,，,钻,出,车,n,q,x,v,v,zg
1,14,口,，,钻,出,车,子,q,x,v,v,zg,ng
1,15,，,钻,出,车,子,，,x,v,v,zg,ng,x
0,16,钻,出,车,子,，,一,v,v,zg,ng,x,m
1,17,出,车,子,，,一,股,v,zg,ng,x,m,q
1,18,车,子,，,一,股,热,zg,ng,x,m,q,n
0,19,子,，,一,股,热,浪,ng,x,m,q,n,n
1,20,，,一,股,热,浪,扑,x,m,q,n,n,v
0,21,一,股,热,浪,扑,面,m,q,n,n,v,n
1,22,股,热,浪,扑,面,而,q,n,n,v,n,c
0,23,热,浪,扑,面,而,来,n,n,v,n,c,v
0,24,浪,扑,面,而,来,，,n,v,n,c,v,x
0,25,扑,面,而,来,，,烈,v,n,c,v,x,a
1,26,面,而,来,，,烈,日,n,c,v,x,a,m
1,27,而,来,，,烈,日,闪,c,v,x,a,m,v
0,28,来,，,烈,日,闪,烁,v,x,a,m,v,zg
1,29,，,烈,日,闪,烁,得,x,a,m,v,zg,ud
0,30,烈,日,闪,烁,得,他,a,m,v,zg,ud,r
0,31,日,闪,烁,得,他,睁,m,v,zg,ud,r,v
1,32,闪,烁,得,他,睁,不,v,zg,ud,r,v,d
1,33,烁,得,他,睁,不,开,zg,ud,r,v,d,v
0,34,得,他,睁,不,开,眼,ud,r,v,d,v,n
1,35,他,睁,不,开,眼,睛,r,v,d,v,n,zg
1,36,睁,不,开,眼,睛,。,v,d,v,n,zg,x
0,37,不,开,眼,睛,。,/s,d,v,n,zg,x,NAN
1,38,开,眼,睛,。,/s,/s,v,n,zg,x,NAN,NAN
1,0,/s,/s,/s,走,进,工,NAN,NAN,NAN,v,v,n
0,1,/s,/s,走,进,工,厂,NAN,NAN,v,v,n,zg
1,2,/s,走,进,工,厂,，,NAN,v,v,n,zg,x
0,3,走,进,工,厂,，,茶,v,v,n,zg,x,n
1,4,进,工,厂,，,茶,叶,v,n,zg,x,n,nr
1,5,工,厂,，,茶,叶,的,n,zg,x,n,nr,uj
0,6,厂,，,茶,叶,的,清,zg,x,n,nr,uj,t
0,7,，,茶,叶,的,清,香,x,n,nr,uj,t,ns
1,8,茶,叶,的,清,香,就,n,nr,uj,t,ns,d
0,9,叶,的,清,香,就,弥,nr,uj,t,ns,d,v
1,10,的,清,香,就,弥,漫,uj,t,ns,d,v,a
1,11,清,香,就,弥,漫,在,t,ns,d,v,a,p
0,12,香,就,弥,漫,在,空,ns,d,v,a,p,n
1,13,就,弥,漫,在,空,气,d,v,a,p,n,n
1,14,弥,漫,在,空,气,中,v,a,p,n,n,f
0,15,漫,在,空,气,中,，,a,p,n,n,f,x
1,16,在,空,气,中,，,再,p,n,n,f,x,d
1,17,空,气,中,，,再,夹,n,n,f,x,d,n
1,18,气,中,，,再,夹,杂,n,f,x,d,n,v
1,19,中,，,再,夹,杂,着,f,x,d,n,v,uz
0,20,，,再,夹,杂,着,茉,x,d,n,v,uz,n
0,21,再,夹,杂,着,茉,莉,d,n,v,uz,n,nrt
1,22,夹,杂,着,茉,莉,花,n,v,uz,n,nrt,v
0,23,杂,着,茉,莉,花,的,v,uz,n,nrt,v,uj
0,24,着,茉,莉,花,的,香,uz,n,nrt,v,uj,ns
0,25,茉,莉,花,的,香,味,n,nrt,v,uj,ns,n
1,26,莉,花,的,香,味,，,nrt,v,uj,ns,n,x
0,27,花,的,香,味,，,又,v,uj,ns,n,x,d
1,28,的,香,味,，,又,甜,uj,ns,n,x,d,a
1,29,香,味,，,又,甜,净,ns,n,x,d,a,a
1,30,味,，,又,甜,净,，,n,x,d,a,a,x
0,31,，,又,甜,净,，,又,x,d,a,a,x,d
1,32,又,甜,净,，,又,清,d,a,a,x,d,t
1,33,甜,净,，,又,清,新,a,a,x,d,t,a
1,34,净,，,又,清,新,，,a,x,d,t,a,x
0,35,，,又,清,新,，,这,x,d,t,a,x,r
1,36,又,清,新,，,这,味,d,t,a,x,r,n
1,37,清,新,，,这,味,道,t,a,x,r,n,q
1,38,新,，,这,味,道,是,a,x,r,n,q,v
0,39,，,这,味,道,是,柏,x,r,n,q,v,nr
