Label,No,B4,B3,B2,B1,F1,F2,F3,F4,POSB4,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3,POSF4
1,0,/s,/s,/s,/s,太,阳,像,一,NAN,NAN,NAN,NAN,d,nr,v,m
0,1,/s,/s,/s,太,阳,像,一,个,NAN,NAN,NAN,d,nr,v,m,q
1,2,/s,/s,太,阳,像,一,个,巨,NAN,NAN,d,nr,v,m,q,nr
1,3,/s,太,阳,像,一,个,巨,大,NAN,d,nr,v,m,q,nr,a
0,4,太,阳,像,一,个,巨,大,的,d,nr,v,m,q,nr,a,uj
1,5,阳,像,一,个,巨,大,的,火,nr,v,m,q,nr,a,uj,n
0,6,像,一,个,巨,大,的,火,球,v,m,q,nr,a,uj,n,n
0,7,一,个,巨,大,的,火,球,，,m,q,nr,a,uj,n,n,x
1,8,个,巨,大,的,火,球,，,逼,q,nr,a,uj,n,n,x,v
0,9,巨,大,的,火,球,，,逼,射,nr,a,uj,n,n,x,v,v
1,10,大,的,火,球,，,逼,射,着,a,uj,n,n,x,v,v,uz
1,11,的,火,球,，,逼,射,着,大,uj,n,n,x,v,v,uz,a
0,12,火,球,，,逼,射,着,大,地,n,n,x,v,v,uz,a,uv
1,13,球,，,逼,射,着,大,地,，,n,x,v,v,uz,a,uv,x
1,14,，,逼,射,着,大,地,，,台,x,v,v,uz,a,uv,x,q
0,15,逼,射,着,大,地,，,台,湾,v,v,uz,a,uv,x,q,zg
1,16,射,着,大,地,，,台,湾,的,v,uz,a,uv,x,q,zg,uj
1,17,着,大,地,，,台,湾,的,仲,uz,a,uv,x,q,zg,uj,zg
0,18,大,地,，,台,湾,的,仲,夏,a,uv,x,q,zg,uj,zg,nr
0,19,地,，,台,湾,的,仲,夏,，,uv,x,q,zg,uj,zg,nr,x
1,20,，,台,湾,的,仲,夏,，,酷,x,q,zg,uj,zg,nr,x,n
0,21,台,湾,的,仲,夏,，,酷,热,q,zg,uj,zg,nr,x,n,n
1,22,湾,的,仲,夏,，,酷,热,得,zg,uj,zg,nr,x,n,n,ud
1,23,的,仲,夏,，,酷,热,得,让,uj,zg,nr,x,n,n,ud,v
0,24,仲,夏,，,酷,热,得,让,人,zg,nr,x,n,n,ud,v,n
0,25,夏,，,酷,热,得,让,人,晕,nr,x,n,n,ud,v,n,v
1,26,，,酷,热,得,让,人,晕,眩,x,n,n,ud,v,n,v,v
1,27,酷,热,得,让,人,晕,眩,。,n,n,ud,v,n,v,v,x
1,28,热,得,让,人,晕,眩,。,/s,n,ud,v,n,v,v,x,NAN
0,29,得,让,人,晕,眩,。,/s,/s,ud,v,n,v,v,x,NAN,NAN
1,30,让,人,晕,眩,。,/s,/s,/s,v,n,v,v,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,柏,霈,文,把,NAN,NAN,NAN,NAN,nr,g,n,p
0,1,/s,/s,/s,柏,霈,文,把,车,NAN,NAN,NAN,nr,g,n,p,zg
1,2,/s,/s,柏,霈,文,把,车,子,NAN,NAN,nr,g,n,p,zg,ng
1,3,/s,柏,霈,文,把,车,子,停,NAN,nr,g,n,p,zg,ng,v
1,4,柏,霈,文,把,车,子,停,在,nr,g,n,p,zg,ng,v,p
0,5,霈,文,把,车,子,停,在,工,g,n,p,zg,ng,v,p,n
